32,5,6,18,-7,-24,18,35,-14,2,-86,-68,38,11,9,
91,10,18,49,-21,-69,44,93,-36,10,-238,-200,108,33,18,
90,9,18,47,-20,-68,43,95,-36,10,-237,-197,105,32,19,
91,10,18,49,-22,-69,44,93,-36,10,-237,-200,108,34,18,
89,11,20,49,-20,-69,44,96,-37,10,-240,-201,105,33,20,
90,10,19,50,-20,-70,44,97,-37,10,-242,-203,108,34,20,
41,6,6,22,-9,-28,16,41,-17,3,-103,-83,46,13,10,
90,9,18,47,-19,-69,43,94,-35,11,-236,-199,102,32,18,
139,14,29,73,-32,-106,65,143,-54,15,-360,-305,158,52,27,
91,10,19,49,-20,-69,45,92,-38,10,-239,-201,109,33,18,
34,3,7,18,-8,-26,16,35,-13,4,-88,-75,39,13,6,
89,10,21,49,-21,-69,44,95,-35,12,-240,-198,105,34,19,
131,13,27,71,-30,-98,63,138,-52,15,-347,-290,154,50,24,
80,8,16,43,-20,-62,38,86,-33,8,-212,-177,95,31,15,
89,11,19,49,-20,-69,44,96,-38,9,-240,-202,107,32,21,
88,9,18,47,-20,-68,43,95,-35,12,-235,-197,103,35,18,
89,10,21,50,-22,-68,44,95,-35,12,-242,-198,106,34,19,
128,14,27,68,-30,-97,61,134,-51,14,-337,-281,150,46,24,
89,10,21,49,-21,-70,44,95,-35,12,-241,-200,105,34,19,
76,11,16,40,-19,-56,37,77,-31,9,-200,-165,89,27,14,
83,7,18,43,-19,-61,39,86,-33,7,-212,-177,93,29,17,
82,8,15,44,-19,-61,41,87,-34,7,-217,-181,97,29,16,
91,9,19,49,-21,-69,44,94,-38,11,-239,-201,106,34,18,
50,7,10,26,-11,-37,23,53,-21,4,-133,-107,57,18,12,
91,10,19,49,-20,-69,45,92,-38,9,-239,-200,108,33,18,
91,11,20,48,-21,-69,44,94,-38,10,-239,-200,106,34,18,
129,14,28,70,-29,-100,61,134,-51,15,-339,-287,151,48,24,
97,10,21,53,-21,-72,46,103,-39,11,-260,-215,115,36,19,
90,10,18,48,-20,-68,43,95,-36,11,-237,-197,105,32,19,
72,8,14,37,-13,-54,34,72,-29,8,-187,-157,84,26,15,
