-10,-3,22,1,2,20,43,50,-43,-21,-6,5,19,1,-28,-18,
31,-38,-15,-11,-8,-17,11,13,-38,18,-11,0,51,56,-10,-29,
-20,13,68,-8,-26,-9,24,-75,5,-1,5,42,34,42,-69,-18,
-15,5,-18,13,11,-5,14,-31,-8,32,-9,40,-35,-29,45,8,
-1,9,84,-16,-47,25,-39,-14,-23,17,25,4,-62,-19,-5,54,
15,-13,-44,-49,-5,-15,-11,27,53,-24,34,-75,55,-3,-3,32,
22,5,60,-1,-33,24,-8,23,-31,-8,17,34,-60,-31,20,-17,
-1,48,-2,18,0,-34,-26,-26,55,52,4,-10,14,-59,8,-6,
1,14,-51,14,28,-68,-14,19,42,11,-10,-7,-25,21,-1,13,
9,-8,-65,32,55,-27,6,27,6,-32,-20,2,-29,-25,52,21,
-14,12,-117,-21,-77,127,-40,23,-9,-78,2,50,25,3,21,5,
-1,-7,-108,21,-40,35,67,-47,-18,-12,-33,-17,41,81,-4,-33,
-24,-15,48,-7,51,-15,-24,5,-36,26,20,-41,40,32,-31,10,
-5,-3,110,27,11,8,4,35,23,-98,12,-43,-37,13,-32,-12,
-8,-9,13,-2,-5,21,-4,-55,93,76,-19,8,-30,2,-52,-23,
