0,72,100,0,100,100,100,39,48,0,100,-7,100,100,6,100,
4,101,39,103,-4,37,100,71,30,0,100,5,103,100,55,52,
25,98,50,103,1,-3,100,74,7,0,100,-1,82,100,9,84,
23,97,51,100,1,0,100,81,5,0,100,-1,83,100,10,81,
21,97,47,101,1,1,100,82,6,0,100,0,86,100,9,82,
6,95,71,102,0,-5,100,92,4,0,100,-1,77,100,9,74,
5,106,64,92,-3,-1,100,48,45,0,100,-6,98,100,68,67,
11,97,41,93,6,0,100,107,94,0,100,-4,10,100,17,103,
100,0,0,0,100,0,100,100,0,0,6,0,0,100,0,100,
100,0,100,0,100,0,100,100,-7,0,0,0,0,100,0,100,
31,108,9,100,0,0,100,10,29,0,100,20,94,100,3,46,
94,100,0,107,0,0,100,5,94,0,100,100,102,100,0,100,
5,107,-7,100,0,100,108,37,92,0,100,49,100,100,101,-4,
33,98,43,103,0,-1,100,78,5,0,100,1,84,100,9,76,
100,0,0,0,100,0,100,100,100,0,100,0,0,100,0,100,
23,97,51,100,1,0,100,81,5,0,100,-1,83,100,10,81,
23,98,47,101,0,-1,100,79,6,0,100,0,85,100,10,79,
100,0,100,0,100,0,100,100,-4,0,0,0,0,100,0,100,
22,97,51,100,1,0,100,84,5,0,100,0,83,100,9,84,
100,0,0,0,100,0,100,100,100,0,100,0,0,100,0,100,
94,100,42,0,0,0,100,100,100,0,100,0,0,100,100,-6,
91,100,46,0,0,0,100,100,100,0,100,0,0,100,100,-9,
31,97,45,101,1,0,100,81,4,0,100,0,81,100,9,81,
100,0,100,0,100,0,100,100,-6,0,0,0,0,100,0,100,
23,97,51,100,1,0,100,81,5,0,100,-1,83,100,10,81,
100,100,0,0,6,63,100,97,4,0,100,2,35,100,36,109,
22,98,49,100,2,1,100,82,6,0,100,0,82,100,10,84,
68,92,39,100,48,100,109,66,-5,0,100,0,104,100,94,14,
0,101,100,0,101,100,99,0,90,0,100,57,100,100,-1,100,
6,107,57,91,-5,-2,100,47,50,0,100,-6,98,100,71,59,
26,97,49,92,4,0,100,101,38,0,100,-3,8,100,8,99,
100,100,0,0,10,61,100,98,0,0,100,4,27,100,25,107,
100,0,0,0,100,0,100,100,0,0,100,0,0,100,0,100,
108,71,-6,100,94,100,106,90,0,0,100,-9,100,100,94,42,
25,98,48,100,1,0,100,78,6,0,100,-1,87,100,10,80,
97,100,0,0,11,34,100,94,9,0,100,-3,79,100,41,107,
90,100,54,0,0,0,100,100,100,0,100,0,0,100,100,-8,
100,0,100,0,100,0,100,100,-5,0,0,0,0,100,0,100,
90,100,41,0,0,0,100,100,100,0,100,0,0,100,100,-6,
